Order	Family	Genus	Species	Island_endemicity_Strict_definition	Island_endemicity_Classical_definition	Extinct_or_extant										
RODENTIA	MURIDAE	Abditomys	latidens	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Acerodon	celebensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Acerodon	humilis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Acerodon	jubatus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Acerodon	leucotis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Acerodon	mackloti	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Acomys	minous	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Acomys	nesiotes	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PILOSA	MEGALONYCHIDAE	Acratocnus	odontrigonus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
PILOSA	MEGALONYCHIDAE	Acratocnus	ye	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	CRICETIDAE	Aegialomys	galapagoensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Ailurops	melanotis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Ailurops	ursinus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Alionycteris	paucidentata	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CHEIROGALEIDAE	Allocebus	trichotis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	CAPROMYIDAE	Amblyrhiza	inundata	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	MURIDAE	Anonymomys	mindorensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	HIPPOSIDERIDAE	Anthops	ornatus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	CRICETIDAE	Antillomys	rayi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
PRIMATES	PITHECIIDAE	Antillothrix	bernensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	MURIDAE	Apomys	abrae	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	camiguinensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	datae	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	gracilirostris	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	hylocetes	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	insignis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	littoralis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	microdon	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	musculus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Apomys	sacobianus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	PALAEOPROPITHECIDAE	Archaeoindris	fontoynonti	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
PRIMATES	ARCHAEOLEMURIDAE	Archaeolemur	edwardsi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
PRIMATES	ARCHAEOLEMURIDAE	Archaeolemur	majori	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	MURIDAE	Archboldomys	luzonensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PHYLLOSTOMIDAE	Ardops	nichollsi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PHYLLOSTOMIDAE	Ariteus	flavescens	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	anthonyi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
PRIMATES	INDRIIDAE	Avahi	betsileo	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	INDRIIDAE	Avahi	cleesei	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	INDRIIDAE	Avahi	laniger	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	INDRIIDAE	Avahi	meridionalis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	INDRIIDAE	Avahi	mooreorum	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	INDRIIDAE	Avahi	occidentalis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
