"host","parasite","ParType"
"Acinonyx_jubatus","Alphacoronavirus 1","Virus"
"Acinonyx_jubatus","Bacillus anthracis","Bacteria"
"Acinonyx_jubatus","Bartonella henselae","Bacteria"
"Acinonyx_jubatus","Cryptococcus gattii","Fungi"
"Acinonyx_jubatus","Feline immunodeficiency virus","Virus"
"Acinonyx_jubatus","Rabies lyssavirus","Virus"
"Acinonyx_jubatus","Canine distemper virus","Virus"
"Acinonyx_jubatus","Mycobacterium bovis","Bacteria"
"Acinonyx_jubatus","Neospora caninum","Protozoa"
"Acinonyx_jubatus","Carnivore protoparvovirus 1","Virus"
"Acinonyx_jubatus","Trichinella nelsoni","Helminth"
"Acinonyx_jubatus","Felid alphaherpesvirus 1","Virus"
"Acinonyx_jubatus","Feline calicivirus","Virus"
"Addax_nasomaculatus","Longistrongylus curvispiculum","Helminth"
"Aepyceros_melampus","Agriostomum gorgonis","Helminth"
"Aepyceros_melampus","Amblyomma hebraeum","Arthropod"
"Aepyceros_melampus","Amblyomma marmoreum","Arthropod"
"Aepyceros_melampus","Amblyomma tholloni","Arthropod"
"Aepyceros_melampus","Amblyomma variegatum","Arthropod"
"Aepyceros_melampus","Anaplasma platys","Bacteria"
"Aepyceros_melampus","Foot and mouth disease virus","Virus"
"Aepyceros_melampus","Bacillus anthracis","Bacteria"
"Aepyceros_melampus","Brucella abortus","Bacteria"
"Aepyceros_melampus","Cooperia connochaeti","Helminth"
"Aepyceros_melampus","Cooperia fuelleborni","Helminth"
"Aepyceros_melampus","Cooperia hungi","Helminth"
"Aepyceros_melampus","Cooperia neitzi","Helminth"
"Aepyceros_melampus","Cooperia rotundispiculum","Helminth"
"Aepyceros_melampus","Cooperia verrucosa","Helminth"
"Aepyceros_melampus","Cooperia yoshidai","Helminth"
"Aepyceros_melampus","Cooperioides hamiltoni","Helminth"
"Aepyceros_melampus","Cooperioides hepaticae","Helminth"
"Aepyceros_melampus","Cotylophoron cotylophorum","Helminth"
"Aepyceros_melampus","Damalinia aepycerus","Arthropod"
"Aepyceros_melampus","Damalinia elongata","Arthropod"
"Aepyceros_melampus","Dictyocaulus viviparus","Helminth"
"Aepyceros_melampus","Ehrlichia ruminantium","Bacteria"
"Aepyceros_melampus","Bovine ephemeral fever virus","Virus"
"Aepyceros_melampus","Escherichia coli","Bacteria"
"Aepyceros_melampus","Fasciola gigantica","Helminth"
"Aepyceros_melampus","Fasciola hepatica","Helminth"
"Aepyceros_melampus","Gaigeria pachyscelis","Helminth"
"Aepyceros_melampus","Haemaphysalis aciculifer","Arthropod"
"Aepyceros_melampus","Haemaphysalis leachi","Arthropod"
"Aepyceros_melampus","Haemonchus bedfordi","Helminth"
"Aepyceros_melampus","Haemonchus contortus","Helminth"
"Aepyceros_melampus","Haemonchus krugeri","Helminth"
"Aepyceros_melampus","Haemonchus vegliai","Helminth"
"Aepyceros_melampus","Hippobosca fulva","Arthropod"
"Aepyceros_melampus","Hyalomma marginatum","Arthropod"
