"host","parasite","ParType","database"
"Acinonyx_jubatus","Alphacoronavirus 1","Virus","gmpd"
"Acinonyx_jubatus","Bacillus anthracis","Bacteria","gmpd"
"Acinonyx_jubatus","Bartonella henselae","Bacteria","gmpd"
"Acinonyx_jubatus","Cryptococcus gattii","Fungi","gmpd"
"Acinonyx_jubatus","Feline immunodeficiency virus","Virus","gmpd"
"Acinonyx_jubatus","Rabies lyssavirus","Virus","gmpd"
"Acinonyx_jubatus","Canine distemper virus","Virus","gmpd"
"Acinonyx_jubatus","Mycobacterium bovis","Bacteria","gmpd"
"Acinonyx_jubatus","Neospora caninum","Protozoa","gmpd"
"Acinonyx_jubatus","Carnivore protoparvovirus 1","Virus","gmpd"
"Acinonyx_jubatus","Trichinella nelsoni","Helminth","gmpd"
"Acinonyx_jubatus","Felid alphaherpesvirus 1","Virus","gmpd"
"Acinonyx_jubatus","Feline calicivirus","Virus","gmpd"
"Addax_nasomaculatus","Longistrongylus curvispiculum","Helminth","gmpd"
"Aepyceros_melampus","Agriostomum gorgonis","Helminth","gmpd"
"Aepyceros_melampus","Amblyomma hebraeum","Arthropod","gmpd"
"Aepyceros_melampus","Amblyomma marmoreum","Arthropod","gmpd"
"Aepyceros_melampus","Amblyomma tholloni","Arthropod","gmpd"
"Aepyceros_melampus","Amblyomma variegatum","Arthropod","gmpd"
"Aepyceros_melampus","Anaplasma platys","Bacteria","gmpd"
"Aepyceros_melampus","Foot and mouth disease virus","Virus","gmpd"
"Aepyceros_melampus","Bacillus anthracis","Bacteria","gmpd"
"Aepyceros_melampus","Brucella abortus","Bacteria","gmpd"
"Aepyceros_melampus","Cooperia connochaeti","Helminth","gmpd"
"Aepyceros_melampus","Cooperia fuelleborni","Helminth","gmpd"
"Aepyceros_melampus","Cooperia hungi","Helminth","gmpd"
"Aepyceros_melampus","Cooperia neitzi","Helminth","gmpd"
"Aepyceros_melampus","Cooperia rotundispiculum","Helminth","gmpd"
"Aepyceros_melampus","Cooperia verrucosa","Helminth","gmpd"
"Aepyceros_melampus","Cooperia yoshidai","Helminth","gmpd"
"Aepyceros_melampus","Cooperioides hamiltoni","Helminth","gmpd"
"Aepyceros_melampus","Cooperioides hepaticae","Helminth","gmpd"
"Aepyceros_melampus","Cotylophoron cotylophorum","Helminth","gmpd"
"Aepyceros_melampus","Damalinia aepycerus","Arthropod","gmpd"
"Aepyceros_melampus","Damalinia elongata","Arthropod","gmpd"
"Aepyceros_melampus","Dictyocaulus viviparus","Helminth","gmpd"
"Aepyceros_melampus","Ehrlichia ruminantium","Bacteria","gmpd"
"Aepyceros_melampus","Bovine ephemeral fever virus","Virus","gmpd"
"Aepyceros_melampus","Escherichia coli","Bacteria","gmpd"
"Aepyceros_melampus","Fasciola gigantica","Helminth","gmpd"
"Aepyceros_melampus","Fasciola hepatica","Helminth","gmpd"
"Aepyceros_melampus","Gaigeria pachyscelis","Helminth","gmpd"
"Aepyceros_melampus","Haemaphysalis aciculifer","Arthropod","gmpd"
"Aepyceros_melampus","Haemaphysalis leachi","Arthropod","gmpd"
"Aepyceros_melampus","Haemonchus bedfordi","Helminth","gmpd"
"Aepyceros_melampus","Haemonchus contortus","Helminth","gmpd"
"Aepyceros_melampus","Haemonchus krugeri","Helminth","gmpd"
"Aepyceros_melampus","Haemonchus vegliai","Helminth","gmpd"
"Aepyceros_melampus","Hippobosca fulva","Arthropod","gmpd"
"Aepyceros_melampus","Hyalomma marginatum","Arthropod","gmpd"
"Aepyceros_melampus","Hyalomma truncatum","Arthropod","gmpd"
"Aepyceros_melampus","Impalaia tuberculata","Helminth","gmpd"
"Aepyceros_melampus","Ixodes cavipalpus","Arthropod","gmpd"
"Aepyceros_melampus","Leptospira interrogans","Bacteria","gmpd"
"Aepyceros_melampus","Linognathus aepyceros","Arthropod","gmpd"
"Aepyceros_melampus","Linognathus nevilli","Arthropod","gmpd"
"Aepyceros_melampus","Linognathus weisseri","Arthropod","gmpd"
"Aepyceros_melampus","Lipoptena paradoxa","Arthropod","gmpd"
"Aepyceros_melampus","Longistrongylus curvispiculum","Helminth","gmpd"
"Aepyceros_melampus","Longistrongylus sabie","Helminth","gmpd"
"Aepyceros_melampus","Longistrongylus schrenki","Helminth","gmpd"
"Aepyceros_melampus","Moniezia benedeni","Helminth","gmpd"
"Aepyceros_melampus","Moniezia expansa","Helminth","gmpd"
"Aepyceros_melampus","Crimean congo hemorrhagic fever nairovirus","Virus","gmpd"
"Aepyceros_melampus","Oesophagostomum columbianum","Helminth","gmpd"
"Aepyceros_melampus","Bluetongue virus","Virus","gmpd"
"Aepyceros_melampus","Bovine viral diarrhea virus 1","Virus","gmpd"
"Aepyceros_melampus","Rift valley fever phlebovirus","Virus","gmpd"
"Aepyceros_melampus","Pneumostrongylus calcaratus","Helminth","gmpd"
"Aepyceros_melampus","Bovine respiratory syncytial virus","Virus","gmpd"
"Aepyceros_melampus","Bovine parainfluenza virus 3","Virus","gmpd"
"Aepyceros_melampus","Rhipicephalus appendiculatus","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus decoloratus","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus evertsi","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus kochi","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus lunulatus","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus muehlensi","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus pravus","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus simus","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus sulcatus","Arthropod","gmpd"
"Aepyceros_melampus","Rhipicephalus zambeziensis","Arthropod","gmpd"
"Aepyceros_melampus","Rhodococcus equi","Bacteria","gmpd"
"Aepyceros_melampus","Sarcocystis melampi","Protozoa","gmpd"
"Aepyceros_melampus","Stilesia hepatica","Helminth","gmpd"
"Aepyceros_melampus","Strongyloides papillosus","Helminth","gmpd"
"Aepyceros_melampus","Thysaniezia giardi","Helminth","gmpd"
"Aepyceros_melampus","Toxocara vitulorum","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus angistris","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus axei","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus colubriformis","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus deflexus","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus falculatus","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus instabilis","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus thomasi","Helminth","gmpd"
"Aepyceros_melampus","Trichuris globulosa","Helminth","gmpd"
"Aepyceros_melampus","Bovine alphaherpesvirus 1","Virus","gmpd"
"Ailuropoda_melanoleuca","Ascaridia schroederii","Helminth","gmpd"
"Alcelaphus_buselaphus","Agriostomum cursoni","Helminth","gmpd"
"Alcelaphus_buselaphus","Foot and mouth disease virus","Virus","gmpd"
"Alcelaphus_buselaphus","Bovine ephemeral fever virus","Virus","gmpd"
"Alcelaphus_buselaphus","Haemonchus bedfordi","Helminth","gmpd"
"Alcelaphus_buselaphus","Haemonchus contortus","Helminth","gmpd"
"Alcelaphus_buselaphus","Impalaia nudicollis","Helminth","gmpd"
"Alcelaphus_buselaphus","Impalaia tuberculata","Helminth","gmpd"
"Alcelaphus_buselaphus","Rinderpest virus","Virus","gmpd"
"Alcelaphus_buselaphus","Crimean congo hemorrhagic fever nairovirus","Virus","gmpd"
"Alcelaphus_buselaphus","Nematodirus spathiger","Helminth","gmpd"
"Alcelaphus_buselaphus","Oesophagostomum columbianum","Helminth","gmpd"
"Alcelaphus_buselaphus","Bluetongue virus","Virus","gmpd"
"Alcelaphus_buselaphus","Akabane virus","Virus","gmpd"
"Alcelaphus_buselaphus","Protostrongylus africanus","Helminth","gmpd"
"Alcelaphus_buselaphus","Rhipicephalus evertsi","Arthropod","gmpd"
"Alcelaphus_buselaphus","Rhipicephalus glabroscutatum","Arthropod","gmpd"
"Alcelaphus_buselaphus","Rhipicephalus pulchellus","Arthropod","gmpd"
"Alcelaphus_buselaphus","Bovine alphaherpesvirus 2","Virus","gmpd"
"Alcelaphus_buselaphus","Teladorsagia circumcincta","Helminth","gmpd"
"Alcelaphus_buselaphus","Trichostrongylus auriculatus","Helminth","gmpd"
"Alcelaphus_buselaphus","Trichostrongylus falculatus","Helminth","gmpd"
"Alcelaphus_buselaphus","Trichuris ovis","Helminth","gmpd"
"Alcelaphus_buselaphus","Trypanosoma brucei","Protozoa","gmpd"
"Alcelaphus_buselaphus","Trypanosoma vivax","Protozoa","gmpd"
"Alcelaphus_lichtensteinii","Haemonchus contortus","Helminth","gmpd"
"Alcelaphus_lichtensteinii","Bovine viral diarrhea virus 1","Virus","gmpd"
"Alces_alces","Anaplasma phagocytophilum","Bacteria","gmpd"
"Alces_alces","Bacillus anthracis","Bacteria","gmpd"
"Alces_alces","Brucella suis","Bacteria","gmpd"
"Alces_alces","Bunostomum trigonocephalum","Helminth","gmpd"
